,Unnamed: 0,nLinks_top,link_states_top,link_lengths_top,joint_ranges_top,nLinks_bottom,link_states_bottom,link_lengths_bottom,joint_ranges_bottom,link_offset,link_twist,end_coordinates,end_to_end_length,end_to_end_angle,diff_ang,mean_diff_ang,SD_diff_ang,var_diff_ang
0,0,4,"[0, 0, 0, 0]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[0 0 0 0],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[-46.77, -0.0, 46.77, 0.0]",93.53,0,3.14,0.3925,0.728461564,0.53065625
1,1,4,"[0, 0, 0, 1]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[0 0 0 1],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[-70.15, -13.5, 70.15, 13.5]",142.87,0.19,0.19,0.3925,0.728461564,0.53065625
2,2,4,"[0, 0, 1, 0]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[0 0 1 0],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[-70.15, -67.5, 70.15, 67.5]",194.7,0.77,0.58,0.3925,0.728461564,0.53065625
3,3,4,"[1, 0, 0, 0]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[1 0 0 0],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[-46.77, -54.0, 46.77, 54.0]",142.87,0.86,0.09,0.3925,0.728461564,0.53065625
4,4,4,"[0, 0, 1, 1]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[0 0 1 1],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[-46.77, -81.0, 46.77, 81.0]",187.06,1.05,0.19,0.3925,0.728461564,0.53065625
5,5,4,"[1, 0, 0, 1]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[1 0 0 1],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[-46.77, -81.0, 46.77, 81.0]",187.06,1.05,0,0.3925,0.728461564,0.53065625
6,6,4,"[0, 1, 0, 0]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[0 1 0 0],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[-23.38, -94.5, 23.38, 94.5]",194.7,1.33,0.28,0.3925,0.728461564,0.53065625
7,7,4,"[0, 1, 0, 1]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[0 1 0 1],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[0.0, -108.0, 0.0, 108.0]",216,1.57,0.24,0.3925,0.728461564,0.53065625
8,8,4,"[1, 0, 1, 0]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[1 0 1 0],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[0.0, -108.0, 0.0, 108.0]",216,1.57,0,0.3925,0.728461564,0.53065625
9,9,4,"[1, 0, 1, 1]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[1 0 1 1],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[23.38, -94.5, -23.38, 94.5]",194.7,1.81,0.24,0.3925,0.728461564,0.53065625
10,10,4,"[0, 1, 1, 0]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[0 1 1 0],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[46.77, -81.0, -46.77, 81.0]",187.06,2.09,0.28,0.3925,0.728461564,0.53065625
11,11,4,"[1, 1, 0, 0]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[1 1 0 0],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[46.77, -81.0, -46.77, 81.0]",187.06,2.09,0,0.3925,0.728461564,0.53065625
12,12,4,"[0, 1, 1, 1]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[0 1 1 1],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[46.77, -54.0, -46.77, 54.0]",142.87,2.28,0.19,0.3925,0.728461564,0.53065625
13,13,4,"[1, 1, 0, 1]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[1 1 0 1],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[70.15, -67.5, -70.15, 67.5]",194.7,2.38,0.1,0.3925,0.728461564,0.53065625
14,14,4,"[1, 1, 1, 0]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[1 1 1 0],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[70.15, -13.5, -70.15, 13.5]",142.87,2.95,0.57,0.3925,0.728461564,0.53065625
15,15,4,"[1, 1, 1, 1]",[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],4,[1 1 1 1],[27. 27. 27. 27.],[1.05 1.05 1.05 1.05],0,0,"[46.77, -0.0, -46.77, 0.0]",93.53,3.14,0.19,0.3925,0.728461564,0.53065625
