Date	Time	UV_index	windspeed(m/s)	windAngle(deg)	PV_power(W)	PV_voltage(V)	
1/1/0	0:1:47	0.02	0.00	180.00	0.00000	0.06452	
1/1/0	0:2:47	0.02	0.00	180.00	0.00000	0.01290	
1/1/0	0:3:47	0.02	0.00	180.00	0.00000	0.01935	
1/1/0	0:4:47	0.03	0.00	180.00	0.00000	0.06452	
1/1/0	0:5:48	0.02	0.00	180.00	0.00000	0.06452	
1/1/0	0:6:48	0.02	0.00	180.00	0.00000	0.05806	
1/1/0	0:7:48	0.02	0.00	180.00	0.00000	0.02581	
1/1/0	0:8:48	0.03	0.00	180.00	0.00000	0.05806	
1/1/0	0:9:48	0.02	0.00	180.00	0.00000	0.06452	
1/1/0	0:10:48	0.03	0.00	180.00	0.00000	0.05806	
1/1/0	0:11:48	0.02	0.00	180.00	0.00000	0.06452	
1/1/0	0:12:49	0.03	0.00	180.00	0.00000	0.06452	
1/1/0	0:13:49	0.02	0.00	180.00	0.00000	0.06452	
1/1/0	0:14:49	0.01	0.00	180.00	0.00000	0.05806	
1/1/0	0:15:49	0.02	0.00	180.00	0.00000	0.05806	
1/1/0	0:16:49	0.02	0.00	180.00	0.00000	0.05806	
1/1/0	0:17:49	0.02	0.00	180.00	0.00000	0.06452	
1/1/0	0:18:49	0.02	0.00	180.00	0.00000	0.06452	
1/1/0	0:19:49	0.02	0.00	180.00	0.00000	0.05806	
1/1/0	0:20:50	0.02	0.00	180.00	0.00000	0.05806	
1/1/0	0:21:50	0.02	0.00	180.00	0.00000	0.07097	
1/1/0	0:22:50	0.02	0.00	180.00	0.00000	0.01290	
1/1/0	0:23:50	0.01	1.32	45.00	0.00000	0.01290	
1/1/0	0:24:50	0.02	0.00	45.00	0.00000	0.01290	
1/1/0	0:25:50	0.03	0.00	45.00	0.00000	0.01290	
1/1/0	0:26:50	0.02	0.00	45.00	0.00000	0.01290	
1/1/0	0:27:51	0.02	0.00	45.00	0.00000	0.01290	
1/1/0	0:28:51	0.02	0.00	247.50	0.00000	0.01290	
