Date	Time	windspeed(m/s)	windAngle(deg)	PV_power(W)	PV_voltage(V)	
1/1/0	0:8:9	1.32	90.00	0.00004	0.29677	
1/1/0	0:9:10	1.98	135.00	0.00707	3.76129	
1/1/0	0:10:10	2.64	157.50	0.01026	4.52903	
1/1/0	0:11:10	1.98	45.00	0.00991	4.45161	
1/1/0	0:12:10	1.32	90.00	0.00968	4.40000	
1/1/0	0:13:10	1.98	45.00	0.00945	4.34839	
1/1/0	0:14:10	1.32	90.00	0.00882	4.20000	
1/1/0	0:15:11	3.96	135.00	0.00931	4.31613	
1/1/0	0:16:11	3.30	135.00	0.00926	4.30323	
1/1/0	0:17:11	0.66	135.00	0.00907	4.25806	
1/1/0	0:18:11	0.66	135.00	0.00893	4.22581	
1/1/0	0:19:11	1.32	135.00	0.00882	4.20000	
1/1/0	0:20:11	1.98	225.00	0.00871	4.17419	
1/1/0	0:21:11	1.98	90.00	0.00860	4.14839	
1/1/0	0:22:11	1.98	135.00	0.00855	4.13548	
1/1/0	0:23:12	1.98	135.00	0.00847	4.11613	
1/1/0	0:24:12	1.98	225.00	0.00842	4.10323	
1/1/0	0:25:12	0.66	45.00	0.00831	4.07742	
1/1/0	0:26:12	0.00	90.00	0.00826	4.06452	
1/1/0	0:27:12	2.64	90.00	0.00821	4.05161	
1/1/0	0:28:12	0.66	90.00	0.00816	4.03871	
1/1/0	0:29:12	1.32	67.50	0.00808	4.01935	
1/1/0	0:30:13	0.66	90.00	0.00805	4.01290	
1/1/0	0:31:13	1.98	135.00	0.00808	4.01935	
1/1/0	0:32:13	2.64	135.00	0.00800	4.00000	
1/1/0	0:33:13	0.66	0.00	0.00797	3.99355	
1/1/0	0:34:13	1.32	45.00	0.00792	3.98065	
1/1/0	0:35:13	1.98	90.00	0.00795	3.98710	
1/1/0	0:36:13	0.66	180.00	0.00790	3.97419	
1/1/0	0:37:13	2.64	45.00	0.00792	3.98065	
1/1/0	0:38:14	1.98	90.00	0.00787	3.96774	
1/1/0	0:39:14	1.32	90.00	0.00550	3.31613	
1/1/0	0:40:14	1.32	135.00	0.00805	4.01290	
1/1/0	0:41:14	1.98	157.50	0.00774	3.93548	
1/1/0	0:42:14	1.32	45.00	0.00829	4.07097	
1/1/0	0:43:14	1.32	180.00	0.00829	4.07097	
1/1/0	0:44:14	1.32	135.00	0.00831	4.07742	
1/1/0	0:45:14	1.98	135.00	0.00554	3.32903	
1/1/0	0:46:15	2.64	135.00	0.00816	4.03871	
1/1/0	0:47:15	3.96	135.00	0.00844	4.10968	
1/1/0	0:48:15	2.64	135.00	0.00650	3.60645	
1/1/0	0:49:15	3.96	225.00	0.00816	4.03871	
1/1/0	0:50:15	3.96	135.00	0.00541	3.29032	
1/1/0	0:51:15	1.98	135.00	0.00855	4.13548	
1/1/0	0:52:15	1.32	135.00	0.00821	4.05161	
1/1/0	0:53:16	1.32	90.00	0.00850	4.12258	
1/1/0	0:54:16	1.32	90.00	0.00852	4.12903	
1/1/0	0:55:16	1.32	90.00	0.00705	3.75484	
1/1/0	0:56:16	1.32	22.50	0.00874	4.18064	
1/1/0	0:57:16	1.32	135.00	0.00869	4.16774	
1/1/0	0:58:16	3.30	180.00	0.00874	4.18064	
1/1/0	0:59:16	2.64	90.00	0.00879	4.19355	
