Date	Time	windspeed(m/s)	windAngle(deg)	PV_power(W)	PV_voltage(V)	
1/1/0	0:13:17	0.00	45.00	0.00000	0.05161	
1/1/0	0:14:17	0.00	45.00	0.00000	0.05161	
1/1/0	0:15:18	0.00	45.00	0.00000	0.04516	
1/1/0	0:16:18	0.00	45.00	0.00000	0.05161	
1/1/0	0:17:18	0.00	45.00	0.00000	0.04516	
1/1/0	0:18:18	0.00	45.00	0.00000	0.04516	
1/1/0	0:19:18	0.00	45.00	0.00000	0.04516	
1/1/0	0:20:18	0.00	45.00	0.00000	0.04516	
1/1/0	0:21:19	0.00	45.00	0.00000	0.05161	
1/1/0	0:22:19	0.00	45.00	0.00000	0.04516	
1/1/0	0:23:19	0.00	45.00	0.00000	0.05161	
1/1/0	0:24:19	0.00	45.00	0.00000	0.04516	
1/1/0	0:25:19	0.00	45.00	0.00000	0.05161	
1/1/0	0:26:19	0.00	45.00	0.00000	0.04516	
1/1/0	0:27:19	0.00	45.00	0.00000	0.03871	
1/1/0	0:28:19	0.00	45.00	0.00000	0.04516	
1/1/0	0:29:20	0.00	45.00	0.00000	0.05161	
1/1/0	0:30:20	0.00	45.00	0.00000	0.05161	
1/1/0	0:31:20	0.00	45.00	0.00000	0.05161	
1/1/0	0:32:20	0.00	45.00	0.00000	0.01935	
1/1/0	0:33:20	0.00	90.00	0.00000	0.01290	
1/1/0	0:34:20	0.00	90.00	0.00000	0.00645	
1/1/0	0:35:20	0.00	315.00	0.00000	0.01290	
1/1/0	0:36:21	0.00	315.00	0.00000	0.00645	
1/1/0	0:37:21	0.00	315.00	0.00000	0.01290	
1/1/0	0:38:21	0.00	315.00	0.00000	0.00645	
1/1/0	0:39:21	0.00	315.00	0.00000	0.01290	
1/1/0	0:40:21	0.00	315.00	0.00000	0.00645	
1/1/0	0:41:21	0.00	315.00	0.00000	0.00645	
1/1/0	0:42:21	0.00	315.00	0.00000	0.00645	
1/1/0	0:43:21	0.00	315.00	0.00000	0.00645	
1/1/0	0:44:22	0.00	315.00	0.00000	0.00645	
1/1/0	0:45:22	0.00	315.00	0.00000	0.00645	
1/1/0	0:46:22	0.00	315.00	0.00000	0.01290	
1/1/0	0:47:22	0.00	315.00	0.00000	0.00645	
1/1/0	0:48:22	0.00	315.00	0.00000	0.00645	
1/1/0	0:49:22	0.00	315.00	0.00000	0.00645	
1/1/0	0:50:22	0.00	315.00	0.00000	0.00645	
1/1/0	0:51:23	0.00	315.00	0.00000	0.00645	
1/1/0	0:52:23	0.00	315.00	0.00000	0.00645	
1/1/0	0:53:23	0.00	315.00	0.00000	0.00645	
1/1/0	0:54:23	0.00	315.00	0.00000	0.00645	
1/1/0	0:55:23	0.00	315.00	0.00000	0.00645	
1/1/0	0:56:23	0.00	315.00	0.00000	0.00645	
1/1/0	0:57:23	0.00	315.00	0.00000	0.00645	
1/1/0	0:58:24	0.00	315.00	0.00000	0.01290	
1/1/0	0:59:24	0.00	315.00	0.00000	0.00645	
1/1/0	1:0:24	0.00	315.00	0.00000	0.00645	
1/1/0	1:1:24	0.00	315.00	0.00000	0.00645	
1/1/0	1:2:24	0.00	315.00	0.00000	0.00000	
1/1/0	1:3:24	0.00	315.00	0.00000	0.00645	
1/1/0	1:4:24	0.00	315.00	0.00000	0.00000	
1/1/0	1:5:24	0.00	315.00	0.00000	0.00645	
1/1/0	1:6:25	0.00	315.00	0.00000	0.01290	
1/1/0	1:7:25	0.00	315.00	0.00000	0.00645	
1/1/0	1:8:25	0.00	45.00	0.00000	0.01290	
1/1/0	1:9:25	0.00	45.00	0.00000	0.00645	
1/1/0	1:10:25	0.00	270.00	0.00000	0.00645	
1/1/0	1:11:25	0.00	270.00	0.00000	0.00645	
1/1/0	1:12:25	0.00	270.00	0.00000	0.00645	
1/1/0	1:13:26	0.00	270.00	0.00000	0.00645	
1/1/0	1:14:26	0.00	270.00	0.00000	0.00645	
1/1/0	1:15:26	0.00	270.00	0.00000	0.00645	
1/1/0	1:16:26	0.00	270.00	0.00000	0.00645	
1/1/0	1:17:26	0.00	315.00	0.00000	0.00645	
1/1/0	1:18:26	0.00	315.00	0.00000	0.00645	
1/1/0	1:19:26	0.00	270.00	0.00000	0.00645	
1/1/0	1:20:26	0.00	270.00	0.00000	0.01290	
1/1/0	1:21:27	0.00	292.50	0.00000	0.00645	
1/1/0	1:22:27	0.00	270.00	0.00000	0.00645	
1/1/0	1:23:27	0.00	270.00	0.00000	0.00645	
1/1/0	1:24:27	0.00	270.00	0.00000	0.00645	
1/1/0	1:25:27	0.00	270.00	0.00000	0.00645	
1/1/0	1:26:27	0.00	270.00	0.00000	0.00645	
1/1/0	1:27:27	0.00	270.00	0.00000	0.00645	
1/1/0	1:28:28	0.00	270.00	0.00000	0.00645	
1/1/0	1:29:28	0.00	270.00	0.00000	0.00645	
1/1/0	1:30:28	0.00	270.00	0.00000	0.00645	
1/1/0	1:31:28	0.00	270.00	0.00000	0.00645	
1/1/0	1:32:28	0.00	270.00	0.00000	0.00645	
1/1/0	1:33:28	0.00	270.00	0.00000	0.00645	
1/1/0	1:34:28	0.00	270.00	0.00000	0.00645	
1/1/0	1:35:29	0.00	270.00	0.00000	0.00645	
1/1/0	1:36:29	0.00	270.00	0.00000	0.01290	
1/1/0	1:37:29	0.00	270.00	0.00000	0.00645	
1/1/0	1:38:29	0.00	270.00	0.00000	0.00645	
1/1/0	1:39:29	0.00	270.00	0.00000	0.00645	
1/1/0	1:40:29	0.00	270.00	0.00000	0.01290	
1/1/0	1:41:29	0.00	270.00	0.00000	0.00645	
1/1/0	1:42:29	0.00	270.00	0.00000	0.01290	
1/1/0	1:43:30	0.00	270.00	0.00000	0.01290	
1/1/0	1:44:30	0.00	270.00	0.00000	0.00645	
1/1/0	1:45:30	0.00	270.00	0.00000	0.00000	
1/1/0	1:46:30	0.00	315.00	0.00000	0.00645	
1/1/0	1:47:30	0.00	270.00	0.00000	0.00000	
1/1/0	1:48:30	0.00	315.00	0.00000	0.00645	
1/1/0	1:49:30	0.00	270.00	0.00000	0.00645	
1/1/0	1:50:31	0.00	315.00	0.00000	0.00645	
1/1/0	1:51:31	0.00	315.00	0.00000	0.00645	
1/1/0	1:52:31	0.00	315.00	0.00000	0.00645	
1/1/0	1:53:31	0.00	270.00	0.00000	0.00645	
1/1/0	1:54:31	0.00	270.00	0.00000	0.00645	
1/1/0	1:55:31	0.00	270.00	0.00000	0.00645	
1/1/0	1:56:31	0.00	270.00	0.00000	0.00645	
1/1/0	1:57:31	0.00	315.00	0.00000	0.00000	
1/1/0	1:58:32	0.00	315.00	0.00000	0.00645	
1/1/0	1:59:32	0.00	270.00	0.00000	0.00645	
1/1/0	2:0:32	0.00	270.00	0.00000	0.00645	
1/1/0	2:1:32	0.00	270.00	0.00000	0.00645	
1/1/0	2:2:32	0.00	270.00	0.00000	0.00645	
